,Users,Method,Figure,item1,item2,item3,item4,item5,item6,item7,Performance
310,p3,REFLEX,kangaroo,7.3,12.2,19.8,25.3,44.1,50.1,54.8,0.8227
311,p4,REFLEX,kangaroo,39.6,92.6,117.7,150.0,150.0,150.0,150.0,0.6197
312,p5,REFLEX,kangaroo,8.5,22.9,36.0,43.4,49.3,56.0,73.2,0.7593
313,p6,REFLEX,kangaroo,5.9,13.0,31.0,40.2,52.3,62.0,77.3,0.7685
314,p7,REFLEX,kangaroo,7.5,26.5,34.4,38.3,42.0,45.9,50.4,0.7907
315,p8,REFLEX,kangaroo,1.5,7.7,30.2,50.5,60.2,69.6,84.4,0.7506
316,p11,REFLEX,kangaroo,25.7,44.4,54.5,60.4,66.8,73.6,80.3,0.6519
317,p13,REFLEX,kangaroo,16.9,33.4,42.3,49.4,56.7,62.8,69.7,0.7178
318,p14,REFLEX,kangaroo,5.8,17.2,20.6,24.1,27.3,32.1,36.5,0.8616
319,p15,REFLEX,kangaroo,19.5,30.6,46.1,57.7,65.3,69.4,89.7,0.6824
320,p16,REFLEX,kangaroo,7.9,12.1,15.7,18.5,21.7,23.1,24.2,0.8942
321,p17,REFLEX,kangaroo,21.5,30.6,35.7,51.4,54.7,92.5,114.3,0.6728
350,p1,REFLEX,mouse,3.9,8.3,11.9,16.1,20.6,27.6,31.6,0.9026190476190477
351,p2,REFLEX,mouse,3.3,6.0,8.8,12.9,14.2,18.5,23.7,0.9296190476190476
352,p3,REFLEX,mouse,5.6,7.7,12.2,15.6,18.5,22.0,24.1,0.9134761904761904
353,p4,REFLEX,mouse,10.0,15.9,24.9,29.7,130.9,147.4,150.0,0.5916190476190476
354,p5,REFLEX,mouse,3.6,7.9,24.4,31.1,39.4,52.7,56.8,0.8231428571428572
355,p6,REFLEX,mouse,3.6,8.5,13.5,19.2,22.9,26.1,29.8,0.8981904761904762
356,p7,REFLEX,mouse,4.7,7.5,9.9,12.3,17.2,18.9,21.0,0.9250952380952381
357,p8,REFLEX,mouse,7.0,9.7,13.9,15.3,19.5,25.0,27.9,0.903952380952381
358,p11,REFLEX,mouse,3.1,10.0,38.3,46.2,51.9,57.1,59.9,0.7761904761904762
359,p13,REFLEX,mouse,7.3,11.4,18.9,24.9,31.3,37.7,44.1,0.8572380952380952
360,p14,REFLEX,mouse,6.1,7.8,10.0,16.0,19.6,24.5,27.2,0.909952380952381
361,p15,REFLEX,mouse,2.6,18.9,20.5,27.0,43.6,48.4,67.2,0.8159047619047619
362,p16,REFLEX,mouse,7.5,9.0,10.9,13.5,16.6,20.4,23.5,0.9181904761904762
363,p17,REFLEX,mouse,5.9,8.3,12.7,17.1,20.3,25.1,27.5,0.9045714285714286
392,p1,REFLEX,rabbit,4.3,8.4,30.0,35.4,42.1,59.9,65.5,0.7993333333333333
393,p2,REFLEX,rabbit,4.1,6.5,10.7,15.2,17.5,20.6,22.4,0.9202380952380953
394,p3,REFLEX,rabbit,9.1,14.0,17.4,22.0,25.2,27.8,30.0,0.8800476190476191
395,p4,REFLEX,rabbit,39.3,45.5,57.6,80.9,150.0,150.0,150.0,0.4489047619047619
396,p5,REFLEX,rabbit,3.4,9.0,13.2,20.6,26.3,32.3,38.2,0.8836190476190476
397,p6,REFLEX,rabbit,8.1,27.9,36.7,40.9,60.9,67.2,71.2,0.7397619047619048
398,p7,REFLEX,rabbit,3.6,5.6,11.0,14.4,17.9,21.9,25.5,0.9187142857142857
399,p8,REFLEX,rabbit,4.7,10.5,20.4,28.7,34.7,40.4,48.3,0.8464761904761905
400,p11,REFLEX,rabbit,5.5,9.5,27.8,45.5,57.0,64.0,68.4,0.7707142857142857
401,p13,REFLEX,rabbit,12.5,16.4,22.4,30.1,35.8,41.9,116.6,0.7989047619047619
402,p14,REFLEX,rabbit,3.3,4.9,10.1,14.7,19.7,25.1,28.5,0.9139047619047619
403,p15,REFLEX,rabbit,4.8,67.2,83.0,92.8,125.3,133.3,139.3,0.45366666666666655
404,p16,REFLEX,rabbit,4.5,6.5,11.0,17.7,21.8,25.2,28.8,0.9058571428571429
405,p17,REFLEX,rabbit,4.2,6.9,11.6,20.1,24.9,29.2,32.6,0.8941904761904762
434,p1,REFLEX,swan,5.0,10.9,29.0,34.2,39.6,88.8,94.3,0.7598571428571428
435,p2,REFLEX,swan,4.4,8.3,11.4,16.7,22.7,30.2,37.7,0.8949047619047619
436,p3,REFLEX,swan,6.8,30.3,47.9,65.5,70.6,74.1,79.2,0.6843809523809524
437,p4,REFLEX,swan,11.6,96.9,150.0,150.0,150.0,150.0,150.0,0.2593333333333333
438,p5,REFLEX,swan,5.6,11.2,22.1,30.1,36.8,43.2,47.4,0.8381904761904762
439,p6,REFLEX,swan,4.7,15.3,25.4,33.0,37.4,41.7,45.1,0.8307619047619048
440,p7,REFLEX,swan,4.0,13.0,17.6,21.4,26.6,30.4,34.4,0.877904761904762
441,p8,REFLEX,swan,6.4,17.1,22.8,29.0,36.7,44.8,52.0,0.828952380952381
442,p11,REFLEX,swan,26.2,31.2,37.7,43.3,49.3,54.0,57.6,0.7548571428571429
443,p13,REFLEX,swan,9.7,17.6,23.8,39.6,49.8,58.4,63.9,0.7847619047619048
444,p14,REFLEX,swan,6.5,11.1,16.0,19.0,25.3,28.2,30.1,0.8877142857142857
445,p15,REFLEX,swan,14.8,21.0,33.0,41.1,51.2,61.9,71.8,0.7604761904761905
446,p16,REFLEX,swan,3.2,5.0,10.2,13.5,17.4,21.5,24.1,0.9226190476190477
447,p17,REFLEX,swan,5.3,10.4,15.6,20.5,25.8,31.5,35.8,0.8815714285714286
476,p1,REFLEX,turtle,2.7,11.7,21.6,30.3,35.2,38.7,42.1,0.8477142857142856
477,p2,REFLEX,turtle,4.0,7.0,10.5,26.4,34.6,42.8,45.6,0.8608571428571429
478,p3,REFLEX,turtle,4.4,7.8,12.1,16.7,19.6,26.7,36.4,0.9016190476190477
479,p4,REFLEX,turtle,32.6,54.2,150.0,150.0,150.0,150.0,150.0,0.29000000000000004
480,p5,REFLEX,turtle,5.5,15.3,20.2,24.4,28.6,31.5,39.9,0.8640952380952381
481,p6,REFLEX,turtle,7.0,13.7,19.4,25.8,30.5,35.9,44.8,0.856
482,p7,REFLEX,turtle,3.6,5.9,10.5,16.3,23.3,29.1,31.3,0.9023333333333333
483,p8,REFLEX,turtle,5.1,15.7,17.8,28.7,35.6,44.1,48.0,0.8395714285714286
484,p11,REFLEX,turtle,5.8,20.7,22.5,26.1,29.0,35.0,38.4,0.852
485,p13,REFLEX,turtle,4.9,43.4,49.1,53.8,80.8,90.4,96.9,0.6491428571428572
486,p14,REFLEX,turtle,3.6,8.4,10.0,13.6,24.7,30.3,32.3,0.900047619047619
487,p15,REFLEX,turtle,6.9,52.8,65.2,76.2,89.7,102.7,110.5,0.5759047619047619
488,p16,REFLEX,turtle,6.0,7.8,11.0,12.9,18.4,20.8,22.4,0.918952380952381
489,p17,REFLEX,turtle,5.7,10.0,14.4,16.6,20.5,28.6,30.8,0.8968095238095238
